Dataset,MrSQM-R (secs),MrSQM-RS (secs),MrSQM-SR (secs),MrSQM-S (secs)
MiddlePhalanxOutlineCorrect,7.293,5.761,7.069,10.051
MiddlePhalanxTW,7.585,6.434,7.673,6.68
MixedShapesRegularTrain,259.874,241.483,255.369,226.611
MixedShapesSmallTrain,205.806,204.383,183.922,189.862
MoteStrain,4.914,6.879,4.646,5.312
NonInvasiveFetalECGThorax1,511.34,444.774,432.742,481.52
NonInvasiveFetalECGThorax2,413.895,470.773,374.889,476.496
OliveOil,3.477,3.147,3.499,3.328
OSULeaf,14.101,14.479,15.581,16.44
PhalangesOutlinesCorrect,28.614,31.551,31.242,35.012
Phoneme,259.433,240.906,217.476,243.969
PigAirwayPressure,93.74,76.162,88.243,99.769
PigArtPressure,81.252,76.127,77.541,104.736
PigCVP,86.871,71.634,88.446,97.31
Plane,2.917,3.181,2.595,3.182
PowerCons,4.344,4.977,4.989,4.592
ProximalPhalanxOutlineAgeGroup,4.917,4.815,6.319,5.532
ProximalPhalanxOutlineCorrect,6.003,8.994,7.386,8.23
ProximalPhalanxTW,4.838,6.631,6.812,7.775
RefrigerationDevices,51.427,47.388,55.482,59.474
Rock,26.965,27.11,25.967,30.53
ScreenType,41.342,46.77,48.194,46.392
SemgHandGenderCh2,182.468,161.128,166.891,179.674
SemgHandMovementCh2,180.221,162.845,179.976,219.69
SemgHandSubjectCh2,189.503,177.571,183.953,198.277
ShapeletSim,8.582,8.536,7.532,8.484
ShapesAll,88.024,96.938,109.377,119.927
SmallKitchenAppliances,41.092,41.348,38.512,44.709
SmoothSubspace,0.179,0.204,0.264,0.149
SonyAIBORobotSurface1,2.187,2.802,2.252,2.135
SonyAIBORobotSurface2,3.444,3.944,2.819,3.409
StarLightCurves,631.851,749.041,606.352,594.282
Strawberry,17.001,20.154,19.869,20.789
SwedishLeaf,27.544,25.569,24.077,27.275
Symbols,19.192,22.537,20.35,20.138
SyntheticControl,2.802,3.315,3.232,3.084
ToeSegmentation1,5.734,6.332,5.902,5.142
ToeSegmentation2,4.131,4.731,4.289,4.561
Trace,4.369,4.953,5.491,5.832
TwoLeadECG,4.453,4.51,4.35,3.788
TwoPatterns,51.887,43.608,46.105,57.274
UMD,1.958,2.365,2.099,2.052
UWaveGestureLibraryAll,341.52,337.868,337.589,392.492
UWaveGestureLibraryX,123.408,119.235,109.636,114.849
UWaveGestureLibraryY,119.34,120.422,118.526,122.03
UWaveGestureLibraryZ,104.81,113.542,116.443,112.603
Wafer,63.527,65.532,61.798,60.225
Wine,1.964,2.303,1.919,1.926
WordSynonyms,29.223,26.407,25.611,36.168
Worms,25.477,24.513,29.848,32.892
WormsTwoClass,20.647,19.402,25.545,26.119
Yoga,74.416,77.567,74.015,75.38
